"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Ethnic origin population","      Pacific Islands origins; n.i.e.",129,       0,,       0,,       0,,    2335,,    1145,,    1185,
"Household characteristics","Total - Private households by tenure - 25% sample data",130,   15600,,,...,,...,14072075,,,...,,...
"Household characteristics","  Owner",,    6975,,,...,,..., 9541320,,,...,,...
"Household characteristics","  Renter",,    8625,,,...,,..., 4474530,,,...,,...
"Household characteristics","  Band housing",,       0,,,...,,...,   56230,,,...,,...
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",131,   15605,,,...,,...,14072075,,,...,,...
"Household characteristics","  Condominium",,    3155,,,...,,..., 1874840,,,...,,...
"Household characteristics","  Not condominium",,   12445,,,...,,...,12197240,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",132,   15600,,,...,,...,14072080,,,...,,...
"Household characteristics","  No bedrooms",,     290,,,...,,...,   93345,,,...,,...
"Household characteristics","  1 bedroom",,    2885,,,...,,..., 1925015,,,...,,...
"Household characteristics","  2 bedrooms",,    5710,,,...,,..., 3547090,,,...,,...
"Household characteristics","  3 bedrooms",,    4190,,,...,,..., 4836485,,,...,,...
"Household characteristics","  4 or more bedrooms",,    2530,,,...,,..., 3670145,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",133,   15605,,,...,,...,14072075,,,...,,...
"Household characteristics","  1 to 4 rooms",,    8135,,,...,,..., 4068915,,,...,,...
"Household characteristics","  5 rooms",,    2435,,,...,,..., 2177045,,,...,,...
"Household characteristics","  6 rooms",,    1500,,,...,,..., 1981585,,,...,,...
"Household characteristics","  7 rooms",,    1200,,,...,,..., 1790180,,,...,,...
"Household characteristics","  8 or more rooms",,    2340,,,...,,..., 4054355,,,...,,...
"Household characteristics","Average number of rooms per dwelling",,  4.9,,,...,,...,  6.2,,,...,,...
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",134,   15605,,,...,,...,14072080,,,...,,...
"Household characteristics","  One person or fewer per room",,   14385,,,...,,...,13802060,,,...,,...
"Household characteristics","  More than 1 person per room",,    1220,,,...,,...,  270020,,,...,,...
"Household characteristics","Total - Private households by housing suitability - 25% sample data",135,   15605,,,...,,...,14072075,,,...,,...
"Household characteristics","  Suitable",,   13110,,,...,,...,13376345,,,...,,...
"Household characteristics","  Not suitable",,    2490,,,...,,...,  695730,,,...,,...
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",136,   15600,,,...,,...,14072080,,,...,,...
"Household characteristics","  1960 or before",,    2830,,,...,,..., 3126380,,,...,,...
"Household characteristics","  1961 to 1980",,    7675,,,...,,..., 4185510,,,...,,...
"Household characteristics","  1981 to 1990",,    2760,,,...,,..., 1977640,,,...,,...
"Household characteristics","  1991 to 2000",,    1115,,,...,,..., 1746390,,,...,,...
"Household characteristics","  2001 to 2005",,     275,,,...,,...,  976390,,,...,,...
"Household characteristics","  2006 to 2010",,     345,,,...,,..., 1089750,,,...,,...
"Household characteristics","  2011 to 2016",137,     600,,,...,,...,  970015,,,...,,...
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",138,   15605,,,...,,...,14072080,,,...,,...
"Household characteristics","  Only regular maintenance or minor repairs needed",,   14425,,,...,,...,13151600,,,...,,...
"Household characteristics","  Major repairs needed",,    1180,,,...,,...,  920480,,,...,,...
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",139,   15600,,,...,,...,14072080,,,...,,...
"Household characteristics","  1 household maintainer",,    8945,,,...,,..., 8324865,,,...,,...
"Household characteristics","  2 household maintainers",,    5585,,,...,,..., 5404800,,,...,,...
"Household characteristics","  3 or more household maintainers",,    1070,,,...,,...,  342415,,,...,,...
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",140,   15605,,,...,,...,14072080,,,...,,...
"Household characteristics","  15 to 24 years",,     235,,,...,,...,  437230,,,...,,...
"Household characteristics","  25 to 34 years",,    1495,,,...,,..., 1991685,,,...,,...
"Household characteristics","  35 to 44 years",,    2585,,,...,,..., 2414920,,,...,,...
"Household characteristics","  45 to 54 years",,    3255,,,...,,..., 2862870,,,...,,...
"Household characteristics","  55 to 64 years",,    3110,,,...,,..., 2859315,,,...,,...
"Household characteristics","  65 to 74 years",,    2225,,,...,,..., 2034220,,,...,,...
"Household characteristics","  75 to 84 years",,    1620,,,...,,..., 1084700,,,...,,...
"Household characteristics","  85 years and over",,    1080,,,...,,...,  387135,,,...,,...
"Household characteristics","Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",141,   15570,,,...,,...,13798305,,,...,,...
"Household characteristics","  Spending less than 30% of income on shelter costs",,    8645,,,...,,...,10472355,,,...,,...
"Household characteristics","  Spending 30% or more of income on shelter costs",,    6925,,,...,,..., 3325950,,,...,,...
"Household characteristics","    30% to less than 100%",,    5735,,,...,,..., 2861615,,,...,,...
"Household characteristics","Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data",,    6980,,,...,,..., 9368330,,,...,,...
"Household characteristics","  % of owner households with a mortgage",142, 50.0,,,...,,..., 60.7,,,...,,...
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",141, 33.0,,,...,,..., 16.6,,,...,,...
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",143,    1254,,,...,,...,    1130,,,...,,...
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",143,    1627,,,...,,...,    1313,,,...,,...
"Household characteristics","  Median value of dwellings ($)",144,  649696,,,...,,...,  341556,,,...,,...
"Household characteristics","  Average value of dwellings ($)",144,  754906,,,...,,...,  443058,,,...,,...
"Household characteristics","Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data",,    8630,,,...,,..., 4452850,,,...,,...
"Household characteristics","  % of tenant households in subsidized housing",145, 13.6,,,...,,..., 13.0,,,...,,...
"Household characteristics","  % of tenant households spending 30% or more of its income on shelter costs",141, 53.7,,,...,,..., 40.0,,,...,,...
"Household characteristics","  Median monthly shelter costs for rented dwellings ($)",143,    1297,,,...,,...,     910,,,...,,...
"Household characteristics","  Average monthly shelter costs for rented dwellings ($)",143,    1244,,,...,,...,    1002,,,...,,...
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data",146,   35235,,   16225,,   19010,,28643015,,13990435,,14652580,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,    4190,,    2045,,    2150,, 5239575,, 2667995,, 2571585,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,    8530,,    4180,,    4350,, 7576400,, 3686630,, 3889770,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,   22510,,   10000,,   12510,,15827040,, 7635805,, 8191230,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,    1580,,     910,,     665,, 2800260,, 1906610,,  893650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,     965,,     520,,     455,, 1549880,,  880365,,  669515,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,     610,,     395,,     215,, 1250385,, 1026250,,  224140,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,    6010,,    2505,,    3505,, 5553825,, 2326940,, 3226890,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,    1550,,     650,,     900,,  813335,,  331940,,  481395,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,   13365,,    5935,,    7430,, 6659615,, 3070315,, 3589300,
" Highest certificate; diploma or degree","      Bachelor's degree",,    8340,,    3475,,    4865,, 4443835,, 1967905,, 2475935,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,    1565,,     710,,     850,,  462295,,  203725,,  258570,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,     455,,     185,,     270,,  190925,,  102530,,   88395,
" Highest certificate; diploma or degree","      Master's degree",,    2540,,    1275,,    1265,, 1331045,,  651510,,  679535,
" Highest certificate; diploma or degree","      Earned doctorate",150,     470,,     290,,     180,,  231510,,  144640,,   86870,
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",146,   22385,,   10420,,   11965,,18931380,, 9268555,, 9662830,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,    1275,,     680,,     595,, 2169790,, 1200110,,  969685,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,    4355,,    2385,,    1965,, 4494585,, 2247020,, 2247565,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,   16755,,    7350,,    9405,,12267005,, 5821425,, 6445580,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,     985,,     565,,     420,, 2042430,, 1377775,,  664650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,     655,,     335,,     315,, 1145035,,  639785,,  505250,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,     335,,     235,,     105,,  897390,,  737990,,  159405,
